Wavelength,NEUT500,DBG6008,BYY8512,ABB6002,DPB4012,BRP6012
572,0.22268454,0.23306132,0.80286198,0.31855722,0.10156139,0.16527415
573,0.22249486,0.23058209,0.8030573,0.31763459,0.10228771,0.16885778
574,0.22338754,0.22694135,0.80524436,0.31623902,0.10315881,0.1730953
575,0.22246219,0.22395442,0.8046862,0.31544548,0.10394067,0.1785859
576,0.22223772,0.22116978,0.8059571,0.31442853,0.10497402,0.18552252
577,0.2227829,0.21809678,0.80581619,0.31373705,0.10607797,0.19227155
578,0.22235275,0.21533746,0.80635531,0.3124289,0.10663832,0.20125001
579,0.2229712,0.21250138,0.80716041,0.31155479,0.10814834,0.21075969
580,0.22278942,0.20943638,0.80858556,0.30978565,0.10934812,0.22100711
581,0.22299891,0.20733582,0.80966207,0.30837141,0.11085665,0.23374615
582,0.22276094,0.20498885,0.81185782,0.30767855,0.11287158,0.24611251
583,0.222869,0.20257766,0.8111803,0.30637726,0.11404253,0.26180849
584,0.22306003,0.20014054,0.81088852,0.30529301,0.11576406,0.27572409
585,0.22301704,0.19786487,0.81015565,0.3037504,0.11711524,0.29145482
586,0.22275205,0.19578423,0.81301129,0.30313078,0.1189307,0.30798671
587,0.2223654,0.19330623,0.81173624,0.30115294,0.12114671,0.32432579
588,0.22266004,0.19141024,0.81300406,0.29942479,0.12330005,0.34101806
589,0.22250682,0.18899737,0.81414491,0.29825927,0.12480189,0.35886433
590,0.22249971,0.18726136,0.81377226,0.29611768,0.12734256,0.37697887
591,0.22241522,0.18490078,0.81227627,0.29484601,0.12910804,0.39523828
592,0.22243952,0.18287446,0.81405616,0.29301748,0.13128576,0.41295555
593,0.22166686,0.18121469,0.81265367,0.29200636,0.13300728,0.4307593
594,0.2214925,0.17885278,0.81487504,0.29027047,0.13490516,0.44971754
595,0.22193096,0.17646481,0.8145405,0.28826861,0.13698172,0.46734619
596,0.22186673,0.1747456,0.81353197,0.28762984,0.13858192,0.48679542
597,0.22165262,0.17380491,0.81605974,0.28508824,0.14024672,0.50411342
598,0.22147377,0.17085371,0.81355649,0.28370016,0.14104317,0.52267865
599,0.22210458,0.16985529,0.81640157,0.28264115,0.14259771,0.53926854
600,0.22135422,0.16771054,0.81716908,0.28093962,0.14360757,0.55924773
601,0.2212863,0.16591934,0.815749,0.28064596,0.14461856,0.57547778
602,0.22090455,0.16502297,0.81645451,0.2780934,0.14563396,0.59346302
603,0.22141403,0.16319787,0.81781173,0.27675248,0.14580513,0.60752798
604,0.22126668,0.16176914,0.81642396,0.27513499,0.14635548,0.62568983
605,0.22136563,0.16018456,0.81826102,0.2753134,0.14591498,0.64131307
606,0.22090242,0.1590672,0.81837153,0.27350308,0.14655199,0.65537786
607,0.22034553,0.15857509,0.81767681,0.27270597,0.14609079,0.66894361
608,0.22017902,0.15718012,0.8190927,0.27130996,0.14501526,0.6842103
609,0.21991902,0.15630997,0.81860942,0.27025396,0.14484453,0.69557365
610,0.2197527,0.15524257,0.81720616,0.26882595,0.14401035,0.71037776
611,0.21936565,0.15420828,0.81870357,0.26791068,0.14276803,0.72111104
612,0.21954223,0.15346927,0.81754585,0.26663659,0.1416719,0.73230949
613,0.21891401,0.15265279,0.82084119,0.26638073,0.14096502,0.74202055
614,0.21831103,0.15180792,0.81972025,0.26475364,0.13967585,0.7524567
615,0.21828295,0.15105405,0.81932437,0.26459965,0.13843652,0.76011101
616,0.21822504,0.15072944,0.81965677,0.26427086,0.13686959,0.76778611
617,0.21853399,0.1503173,0.82037393,0.26327246,0.13544556,0.77649734
618,0.21742484,0.15001111,0.82261692,0.262033,0.13458617,0.78276808
619,0.21759934,0.14909275,0.822423,0.26091817,0.13329152,0.78896763
620,0.21693431,0.14880522,0.82168821,0.26094786,0.13180705,0.79585259
621,0.21743713,0.14839613,0.82210402,0.26020998,0.13108139,0.80177355
622,0.21652165,0.14778863,0.82123226,0.25971703,0.13008089,0.80459316
623,0.21687323,0.14803939,0.82194866,0.25846971,0.12916983,0.81105181
624,0.21623248,0.14753695,0.82030013,0.25870042,0.12929788,0.81268504
625,0.2163888,0.14665826,0.82154287,0.25851957,0.1282807,0.81850353
626,0.21659548,0.14686973,0.82330697,0.25773138,0.1287185,0.82275016
627,0.21589787,0.14646867,0.82338647,0.25768984,0.12880386,0.82585621
628,0.21658777,0.14644587,0.82418157,0.25755572,0.12905053,0.82787482
629,0.21558801,0.14565677,0.82424591,0.25717043,0.13004039,0.82997372
630,0.21540659,0.14551387,0.82323038,0.25648562,0.13082047,0.83587122
631,0.2161132,0.145271,0.82427653,0.25603395,0.13156118,0.83788583
632,0.21510831,0.14483213,0.82526794,0.25665986,0.13317685,0.83641374
633,0.21491073,0.14516523,0.82547684,0.25550341,0.13426086,0.83785535
634,0.21472998,0.14445052,0.82463929,0.25468362,0.13560719,0.84069878
635,0.21414865,0.14430887,0.82561319,0.25362768,0.13753884,0.8413074
636,0.21342824,0.14431752,0.82542612,0.25411925,0.13935825,0.84467128
637,0.21398622,0.14409811,0.82620918,0.2528051,0.14150097,0.84436713
638,0.21401646,0.14345251,0.82536666,0.25301257,0.14400164,0.84610295
