Wavelength,X,Y,Z
578,0.4979866718879226,0.4987216261063994,0.0009597479080109225
579,0.5060763843124066,0.4934365066073529,0.0009439691633311238
580,0.5139183076849043,0.4879503739887229,0.0009254236839445594
581,0.5214896709879626,0.482263957371758,0.0009030632178409014
582,0.5287802665241029,0.47639211961267736,0.000877413293181561
583,0.5357793818195972,0.47035163050019624,0.0008489214782406102
584,0.542476248314468,0.4641593159092798,0.0008180364630171194
585,0.5488600413624876,0.45783205780114306,0.0007852074983726575
586,0.5549092799299505,0.45137916649326665,0.0007496863937337749
587,0.560609437678137,0.44480995230313136,0.0007122953735237678
588,0.5659602902620473,0.43814129719195216,0.000675839311099323
589,0.570961613336682,0.43139002703469415,0.0006431225189546286
590,0.5756131825570416,0.42457291162007266,0.0006169487487213737
591,0.5799221208768613,0.4177046455455571,0.0005994498387576402
592,0.5838500092149709,0.41078825746864134,0.0005885691062801905
593,0.5873284784327617,0.40382301826807676,0.0005808292037962315
594,0.5902891033053759,0.3968082549088649,0.0005727527838129699
595,0.5926634025217051,0.3897433504422569,0.0005608624988376125
596,0.5943989354381082,0.3826311652669969,0.0005432738508740649
597,0.5955233525757779,0.37548151447681455,0.0005215572549190726
598,0.5960884776296066,0.3683040449066899,0.0004974177329691018
599,0.5961461342944872,0.36110840339160283,0.00047256030702061874
600,0.595748146265312,0.3539042367665335,0.00044868999907009
601,0.5949265948770147,0.34670023840021374,0.0004267939271154696
602,0.5936413223746784,0.3394981469663901,0.0004058849731588034
603,0.5918357938184203,0.33229734551631374,0.00038470680520269517
604,0.5894534742683576,0.32509716101498615,0.00036200309124974854
605,0.5864378287846076,0.3178968643411587,0.00033651749930256743
606,0.5827568321184864,0.3106960068048325,0.0003072778863919166
607,0.5784515954911591,0.30350356220598884,0.0002757200044285703
608,0.5735751204087656,0.2963332716758493,0.0002441995319938965
609,0.568180464463696,0.2891988202593855,0.0002150720915830131
610,0.5623207413345902,0.28211383691531905,0.00019069324960478825
611,0.5560208533163967,0.27508555676988516,0.0001723268536141026
612,0.5492702561941374,0.26810932466434345,0.00015881382517085835
613,0.5420688938815622,0.2611811023887022,0.00014887534169145584
614,0.5344166542061715,0.2542968517329698,0.00014123263667854534
615,0.5263133689092155,0.24745253448715462,0.000134606999721027
616,0.5177848937518907,0.24065488100124277,0.0001287441357619278
617,0.5088391368954309,0.23389985306524255,0.00012374870174353082
618,0.4994491769398916,0.22716725962919584,0.00011888041525362034
619,0.4895880924853287,0.2204369096431445,0.0001133989377937307
620,0.4792289060455481,0.21368861205713036,0.00010656387477914638
621,0.4683672989793088,0.20691249569117384,0.00009770970676874663
622,0.4570726499777169,0.20013099504522852,0.000087292639319086
623,0.44542914450184806,0.19337237758923576,0.00007625486534196179
624,0.4335209119265279,0.18666491079313696,0.00006553863383542118
625,0.42143208162658197,0.18003686212687361,0.00005608624988376125
626,0.4091960810069411,0.17349613975167924,0.00004830895469700469
627,0.3968600225175076,0.16705311962378241,0.00004184034241328589
628,0.3845285631005646,0.16073960264686718,0.00003645606242444481
629,0.3723063596983951,0.1545874458108675,0.00003193176973094641
630,0.3602980692532822,0.14862856219196732,0.000028043119333255638
631,0.3485843998788088,0.14288712496386644,0.000024767687948668964
632,0.3371421879537728,0.13734939299534338,0.000022142851454108942
633,0.32592011455953057,0.13199023964645024,0.000020034008458479517
634,0.31486691686368834,0.12678453827723904,0.00001830655196205967
635,0.30393138812010223,0.1217071622477619,0.000016825874965128374
636,0.2931064614612869,0.11675003513803556,0.000015509715764981116
637,0.2824202921846839,0.11191943860804696,0.000014335645470289374
638,0.27187450679154007,0.10721178313780358,0.000013258789472521159
639,0.261470675696852,0.10262347920731285,0.000012234278771769456
640,0.25121031322936666,0.09815093729658217,0.00001121724997675225
641,0.2410930828715846,0.09378939007437148,0.000010170304776047044
642,0.23113031404598244,0.08953967883442901,0.000009085972481169323
